Time (UTC),DA_Load_MW,Actual_Load_MW,Solar_MW,Wind_MW,DA_Price_EUR_MWh,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (m/s),surface_pressure (hPa),precipitation (mm),shortwave_radiation (W/m²)
1/1/2017 0:00,6080,6315,0,86,26.255,-5.9,33,0.92,868.4,0,0
1/1/2017 1:00,5930,6101,0,72,24.4975,-6.1,34,0.71,868.8,0,0
1/1/2017 2:00,5726,5830,0,73,20.4975,-6.2,33,0.64,868.2,0,0
1/1/2017 3:00,5686,5715,0,69,20.4975,-6.4,32,0.57,867.6,0,0
1/1/2017 4:00,5792,5818,0,77,18.83,-6.5,31,0.5,867,0,0
1/1/2017 5:00,5810,5774,0,73,15.2075,-6.5,30,0.57,866.6,0,0
1/1/2017 6:00,6262,6168,8,65,14.47,-6.7,30,0.71,866,0,0
1/1/2017 7:00,6603,6406,17,55,17.5825,-7,30,0.85,865.6,0,0
1/1/2017 8:00,6943,6678,56,60,20.075,-5.5,26,1.06,865.9,0,45
1/1/2017 9:00,7110,6893,114,60,20.705,-2.3,20,0.51,867.4,0,155
1/1/2017 10:00,7174,6990,162,50,22.86,-0.2,18,0.5,867.9,0,253
1/1/2017 11:00,6976,6891,180,42,21.6475,1.7,16,0.45,867.2,0,310
1/1/2017 12:00,6795,6742,161,48,20.105,2,20,0.45,866.7,0,319
1/1/2017 13:00,6673,6673,114,42,20.3,2.6,20,0.54,865.9,0,276
1/1/2017 14:00,6692,6716,55,54,23.4975,0.6,26,0.71,864.3,0,190
1/1/2017 15:00,7025,7148,17,60,31.495,-2.4,44,0.64,862.7,0,80
1/1/2017 16:00,7546,7706,8,56,38.06,-3,51,0.78,862.4,0,4
1/1/2017 17:00,7750,7828,8,42,38.4975,-4.6,54,1.06,861.5,0,0
1/1/2017 18:00,7566,7513,0,36,37.495,-5.2,50,1.2,861.3,0,0
1/1/2017 19:00,7197,7184,0,36,31.7775,-5.1,43,0.99,861.5,0,0
1/1/2017 20:00,6875,6789,0,34,30.4925,-4.9,38,0.85,861.9,0,0
1/1/2017 21:00,7100,6906,0,43,30.7475,-4.9,36,0.71,861.9,0,0
1/1/2017 22:00,6690,6633,0,43,23.5,-5,35,0.57,861.8,0,0
1/1/2017 23:00,6786,6353,0,48,25.895,-5.2,35,0.57,861.7,0,0
1/2/2017 0:00,6541,6138,0,56,23.7025,-8.3,42,0.99,860.5,0,0
1/2/2017 1:00,6414,6042,0,52,23.05,-6,34,0.71,861.7,0,0
1/2/2017 2:00,6282,5914,0,62,22.0675,-6.1,34,0.57,861.7,0,0
1/2/2017 3:00,6475,6076,0,74,24.05,-6,33,0.64,861.7,0,0
1/2/2017 4:00,7171,6664,0,77,26.9,-6,32,0.86,861,0,0
1/2/2017 5:00,8198,7383,0,104,33.325,-6,32,0.71,860.8,0,0
1/2/2017 6:00,9116,8250,8,110,45.4125,-6.2,33,0.85,860.7,0,0
1/2/2017 7:00,9420,8723,17,111,42.08,-6.4,35,0.99,861,0,0
1/2/2017 8:00,9530,8992,54,111,47.1175,-5.3,34,1.13,861.6,0,45
1/2/2017 9:00,9536,9024,102,104,48.8725,-2.5,29,0.51,863,0,152
1/2/2017 10:00,9497,9070,140,109,50.695,-0.5,27,0.1,863.3,0,248
1/2/2017 11:00,9311,8941,154,102,50.42,1.1,25,0.54,862.8,0,306
1/2/2017 12:00,9305,8842,138,120,51.85,1.2,35,0.41,861.9,0,316
1/2/2017 13:00,9215,8784,97,170,49.495,1.6,34,1.22,861.5,0,273
1/2/2017 14:00,9215,8842,47,312,51.9975,0.2,39,1.87,861.4,0,187
1/2/2017 15:00,9437,9192,16,640,60.9575,-2.4,52,1.44,861.1,0,78
1/2/2017 16:00,9778,9516,8,988,69.8375,-4.3,62,1.56,861.2,0,4
1/2/2017 17:00,9792,9374,8,1272,62.2675,-4.9,69,1.12,861.5,0,0
1/2/2017 18:00,9373,8790,0,1650,55.8725,-4.8,74,0.51,862.2,0.1,0
1/2/2017 19:00,8710,8268,0,1670,48.6,-4.4,80,0.4,862.7,0.3,0
1/2/2017 20:00,8124,7761,0,1558,42.375,-4.6,84,0.41,863,0.4,0
1/2/2017 21:00,8058,7707,0,1415,40.8975,-4.8,88,0.82,863.2,0.5,0
1/2/2017 22:00,7556,7199,0,1259,34.3025,-5.2,90,1.21,863.5,0.6,0
1/2/2017 23:00,7132,6876,0,1276,35.44,-5.6,89,1.39,863.8,0.5,0
1/3/2017 0:00,6863,6606,0,1355,35.79,-6,88,1.21,863.9,0.3,0
1/3/2017 1:00,6730,6412,0,1528,33.3225,-5.8,84,1.99,864.7,0.4,0
1/3/2017 2:00,6577,6316,0,1792,32.61,-6,83,2.31,865.1,0.1,0
1/3/2017 3:00,6743,6456,0,1727,31.2625,-6.5,85,1.87,865.4,0,0
1/3/2017 4:00,7429,6996,0,1532,32.185,-6.8,85,1.25,865.6,0,0
1/3/2017 5:00,8515,7645,0,1374,38.89,-6.6,83,0.8,865.6,0,0
1/3/2017 6:00,9432,8470,8,1438,51.115,-6.8,84,0.72,865.9,0.1,0
1/3/2017 7:00,9749,8913,16,1437,46.8925,-6.5,81,0.98,866.5,0.1,0
1/3/2017 8:00,9858,9131,49,1401,46.285,-6.5,81,0.82,866.7,0.1,22
1/3/2017 9:00,9876,9292,96,1548,44.5975,-5.3,67,1.61,867.1,0.1,104
1/3/2017 10:00,9848,9342,132,1610,43.6,-4.4,58,1.63,867.4,0,170
1/3/2017 11:00,9642,9156,148,1688,39,-3.6,51,2.06,867.2,0,260
